85|Hialeah|FL|188004|85|POINT (-80.296772 25.86175)|
86|Montgomery|AL|187106|86|POINT (-86.284287 32.3544)|
87|Lubbock|TX|186206|87|POINT (-101.875374 33.57585)|
88|Greensboro|NC|183521|88|POINT (-79.826888 36.0789)|
89|Dayton|OH|182044|89|POINT (-84.197357 39.779067)|
90|Huntington Beach|CA|181519|90|POINT (-118.008115 33.691755)|
91|Garland|TX|180650|91|POINT (-96.6293 32.9108)|
92|Glendale|CA|180038|92|POINT (-118.253257 34.17672)|
93|Columbus|GA|179278|93|POINT (-84.874972 32.51071)|
94|Spokane|WA|177196|94|POINT (-117.414024 47.6723)|
95|Tacoma|WA|176664|95|POINT (-122.459766 47.252)|
96|Little Rock|AR|175795|96|POINT (-92.354076 34.7224)|
97|Bakersfield|CA|174820|97|POINT (-119.004553 35.3577)|
98|Fremont|CA|173339|98|POINT (-121.997122 37.528506)|
99|Fort Wayne|IN|173072|99|POINT (-85.139024 41.07375)|
100|Newport News|VA|170045|100|POINT (-76.51416 37.07585)|
101|Worcester|MA|169759|101|POINT (-71.80892 42.269633)|
102|Knoxville|TN|165121|102|POINT (-83.946288 35.97455)|
103|Modesto|CA|164730|103|POINT (-120.993923 37.659799)|
104|Orlando|FL|164693|104|POINT (-81.374248 28.504748)|
105|San Bernardino|CA|164164|105|POINT (-117.292299 34.13975)|
106|Syracuse|NY|163860|106|POINT (-76.144067 43.041059)|
107|Providence|RI|160728|107|POINT (-71.419732 41.82195)|
108|Salt Lake City|UT|159936|108|POINT (-111.929921 40.777267)|
109|Huntsville|AL|159786|109|POINT (-86.627723 34.707048)|
110|Amarillo|TX|157615|110|POINT (-101.818682 35.20255)|
111|Springfield|MA|156983|111|POINT (-72.539045 42.115033)|
112|Irving|TX|155037|112|POINT (-96.969338 32.857685)|
113|Chattanooga|TN|152466|113|POINT (-85.256956 35.066209)|
114|Chesapeake|VA|151976|114|POINT (-76.308771 36.678812)|
115|Kansas City|KS|149767|115|POINT (-94.727037 39.1184)|
116|Fort Lauderdale|FL|149377|116|POINT (-80.139499 26.14255)|
117|Glendale|AZ|148134|117|POINT (-112.20159 33.584128)|
118|Warren|MI|144864|118|POINT (-83.028197 42.493)|
119|Winston-Salem|NC|143485|119|POINT (-80.26291 36.1021)|
120|Garden Grove|CA|143050|120|POINT (-117.959375 33.77875)|
121|Oxnard|CA|142216|121|POINT (-119.213695 34.197426)|
122|Tempe|AZ|141865|122|POINT (-111.930639 33.38835)|
123|Bridgeport|CT|141686|123|POINT (-73.196209 41.186316)|
124|Paterson|NJ|140891|124|POINT (-74.163413 40.91445)|
125|Flint|MI|140761|125|POINT (-83.692799 43.02285)|
126|Springfield|MO|140494|126|POINT (-93.286099 37.1962)|
127|Hartford|CT|139739|127|POINT (-72.683866 41.7657)|
128|Rockford|IL|139426|128|POINT (-89.063149 42.2703)|
129|Savannah|GA|137560|129|POINT (-81.131648 32.024357)|
130|Durham|NC|136611|130|POINT (-78.914969 35.980433)|
131|Chula Vista|CA|135163|131|POINT (-117.044733 32.62845)|
132|Reno|NV|133850|132|POINT (-119.822499 39.5387)|
133|Hampton|VA|133793|133|POINT (-76.29191 37.05515)|
134|Ontario|CA|133179|134|POINT (-117.60581 34.054412)|
135|Torrance|CA|133107|135|POINT (-118.340424 33.8348)|
136|Pomona|CA|131723|136|POINT (-117.761399 34.05895)|
137|Pasadena|CA|131591|137|POINT (-118.138724 34.1607)|
138|New Haven|CT|130474|138|POINT (-72.924068 41.3101)|
139|Scottsdale|AZ|130069|139|POINT (-111.870478 33.685992)|
140|Plano|TX|128713|140|POINT (-96.746664 33.046201)|
141|Oceanside|CA|128398|141|POINT (-117.310286 33.225074)|
142|Lansing|MI|127321|142|POINT (-84.553996 42.7091)|
143|Lakewood|CO|126481|143|POINT (-105.113556 39.6952)|
144|Evansville|IN|126272|144|POINT (-87.543299 37.98415)|
